Date,Home_Team,Away_Team,Full_Time_Result,Full_Time_Home_Goals,Full_Time_Away_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Bet365_Home_Odds,Bet365_Draw_Odds,Bet365_Away_Odds,Season
2007-08-11,Aston Villa,Liverpool,A,1,2,10,17,6,7,4,2,18,11,4,2,0,0,4,3.25,1.9,2007-2008
2007-08-11,Bolton,Newcastle,A,1,3,13,7,9,5,4,3,15,16,1,1,0,0,2.5,3.2,2.75,2007-2008
2007-08-11,Derby,Portsmouth,D,2,2,12,12,5,6,6,6,14,17,1,2,0,0,2.8,3.25,2.4,2007-2008
2007-08-11,Everton,Wigan,H,2,1,12,14,8,4,6,2,8,13,0,0,0,0,1.66,3.4,5.5,2007-2008
2007-08-11,Middlesbrough,Blackburn,A,1,2,10,4,6,4,13,3,16,16,3,4,0,0,2.37,3.25,2.87,2007-2008
2007-08-11,Sunderland,Tottenham,H,1,0,9,6,4,3,7,2,14,14,1,1,0,0,3.4,3.25,2.1,2007-2008
2007-08-11,West Ham,Man City,A,0,2,9,14,2,5,5,3,13,11,0,4,0,0,2,3.2,3.75,2007-2008
2007-08-12,Arsenal,Fulham,H,2,1,19,12,13,9,14,4,6,19,1,5,0,0,1.33,4.5,10,2007-2008
2007-08-12,Chelsea,Birmingham,H,3,2,19,6,11,4,5,3,8,8,2,1,0,0,1.2,6,13,2007-2008
2007-08-12,Man United,Reading,D,0,0,22,3,9,2,12,3,8,16,0,2,0,1,1.22,5.5,13,2007-2008
2007-08-14,Tottenham,Everton,A,1,3,14,16,8,10,9,4,16,9,2,0,0,0,1.8,3.4,4.33,2007-2008
2007-08-15,Birmingham,Sunderland,D,2,2,7,7,3,3,2,7,17,10,1,1,0,0,2.3,3.25,3,2007-2008
2007-08-15,Fulham,Bolton,H,2,1,8,14,6,7,9,8,19,13,2,1,0,0,2.2,3.25,3.2,2007-2008
2007-08-15,Man City,Derby,H,1,0,9,5,6,3,4,4,12,13,3,1,0,0,1.61,3.6,5.5,2007-2008
2007-08-15,Portsmouth,Man United,D,1,1,7,20,6,12,6,12,13,5,2,1,1,1,5.5,3.6,1.61,2007-2008
2007-08-15,Reading,Chelsea,A,1,2,15,15,11,7,4,11,15,16,4,5,1,0,6.5,3.75,1.53,2007-2008
2007-08-15,Wigan,Middlesbrough,H,1,0,14,5,5,1,5,3,8,20,1,3,0,0,2.3,3.25,3,2007-2008
2007-08-18,Birmingham,West Ham,A,0,1,6,13,3,5,9,5,16,15,4,2,0,0,2.37,3.25,2.87,2007-2008
2007-08-18,Fulham,Middlesbrough,A,1,2,13,9,6,6,8,7,9,12,1,3,0,0,2.1,3.25,3.4,2007-2008
2007-08-18,Newcastle,Aston Villa,D,0,0,6,11,2,5,8,6,16,12,0,2,0,0,1.83,3.3,4.33,2007-2008
2007-08-18,Portsmouth,Bolton,H,3,1,11,8,6,3,10,6,13,11,0,2,0,0,1.83,3.3,4.33,2007-2008
2007-08-18,Reading,Everton,H,1,0,10,13,5,5,4,12,14,8,2,2,0,0,2.5,3.25,2.7,2007-2008
2007-08-18,Tottenham,Derby,H,4,0,25,4,14,2,9,3,8,14,0,4,0,0,1.44,4,7.5,2007-2008
2007-08-18,Wigan,Sunderland,H,3,0,9,9,4,6,5,9,8,17,0,2,0,0,2.2,3.25,3.2,2007-2008
2007-08-19,Blackburn,Arsenal,D,1,1,9,10,4,3,5,4,19,15,4,4,1,0,3.1,3.2,2.25,2007-2008
2007-08-19,Liverpool,Chelsea,D,1,1,18,6,8,2,5,2,11,16,4,5,0,0,2.62,3.1,3.1,2007-2008
2007-08-19,Man City,Man United,H,1,0,6,15,2,6,0,11,8,11,2,2,0,0,4.5,3.25,1.83,2007-2008
2007-08-25,Arsenal,Man City,H,1,0,16,8,10,4,8,2,8,9,0,1,0,0,1.53,3.8,6,2007-2008
2007-08-25,Aston Villa,Fulham,H,2,1,23,10,4,5,12,3,11,13,1,2,0,1,1.8,3.4,4.5,2007-2008
2007-08-25,Bolton,Reading,H,3,0,18,5,12,2,10,7,10,7,2,1,0,0,2.25,3.2,3,2007-2008
