Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Season
2011-08-13,Blackburn,Wolves,A,1,2,16,13,8,4,12,6,14,10,4,2,0,0,2.2,3.2,3.5,2011-2012
2011-08-13,Fulham,Aston Villa,D,0,0,13,7,9,1,2,3,10,18,2,4,0,0,2.2,3.2,3.5,2011-2012
2011-08-13,Liverpool,Sunderland,D,1,1,11,15,4,6,6,3,17,12,4,4,0,0,1.57,3.6,7,2011-2012
2011-08-13,Newcastle,Arsenal,D,0,0,6,9,1,4,2,5,9,11,3,5,0,1,3.75,3.25,2.1,2011-2012
2011-08-13,QPR,Bolton,A,0,4,13,13,7,7,3,2,9,16,1,2,1,0,2.4,3.25,3,2011-2012
2011-08-13,Wigan,Norwich,D,1,1,18,13,11,3,7,3,11,8,2,2,0,0,2.2,3.2,3.5,2011-2012
2011-08-14,Stoke,Chelsea,D,0,0,6,20,3,11,4,6,12,12,2,2,0,0,5.5,3.5,1.7,2011-2012
2011-08-14,West Brom,Man United,A,1,2,14,11,8,5,6,5,16,9,3,2,0,0,6.5,4,1.53,2011-2012
2011-08-15,Man City,Swansea,H,4,0,26,8,19,5,7,4,9,2,0,0,0,0,1.29,5,13,2011-2012
2011-08-20,Arsenal,Liverpool,A,0,2,10,13,6,8,9,5,11,6,2,2,1,0,2.5,3.25,2.9,2011-2012
2011-08-20,Aston Villa,Blackburn,H,3,1,9,10,6,6,5,4,9,13,3,0,0,0,1.73,3.4,5.5,2011-2012
2011-08-20,Chelsea,West Brom,H,2,1,22,6,12,4,7,4,12,8,2,4,0,0,1.3,5.5,10,2011-2012
2011-08-20,Everton,QPR,A,0,1,14,4,7,3,2,1,12,9,1,1,0,0,1.53,3.8,7,2011-2012
2011-08-20,Sunderland,Newcastle,A,0,1,15,12,5,10,7,6,17,7,3,3,1,0,2.2,3.25,3.4,2011-2012
2011-08-20,Swansea,Wigan,D,0,0,12,10,6,4,7,7,8,18,0,3,0,0,2.1,3.3,3.6,2011-2012
2011-08-21,Bolton,Man City,A,2,3,6,17,4,9,7,8,19,14,2,0,0,0,4.75,3.5,1.8,2011-2012
2011-08-21,Norwich,Stoke,D,1,1,9,15,7,5,3,6,13,12,0,2,1,0,2.6,3.3,2.75,2011-2012
2011-08-21,Wolves,Fulham,H,2,0,17,8,7,4,7,8,7,10,2,2,0,0,2.38,3.25,3.1,2011-2012
2011-08-22,Man United,Tottenham,H,3,0,27,20,21,12,11,3,12,9,1,2,0,0,1.67,3.75,5.5,2011-2012
2011-08-27,Aston Villa,Wolves,D,0,0,15,3,5,2,11,8,10,9,1,3,0,0,2.1,3.25,3.75,2011-2012
2011-08-27,Blackburn,Everton,A,0,1,14,9,6,4,5,4,17,13,5,2,0,0,3.3,3.25,2.25,2011-2012
2011-08-27,Chelsea,Norwich,H,3,1,16,9,8,6,8,6,17,14,2,2,0,1,1.2,6.5,15,2011-2012
2011-08-27,Liverpool,Bolton,H,3,1,17,7,9,4,12,6,5,7,0,2,0,0,1.4,4.5,8.5,2011-2012
2011-08-27,Swansea,Sunderland,D,0,0,15,12,6,8,7,4,7,10,1,1,0,0,2.38,3.3,3,2011-2012
2011-08-27,Wigan,QPR,H,2,0,13,19,10,9,8,7,13,8,2,0,0,0,2.25,3.3,3.25,2011-2012
2011-08-28,Man United,Arsenal,H,8,2,25,19,15,13,3,5,9,7,2,3,0,1,1.5,4.33,6.5,2011-2012
2011-08-28,Newcastle,Fulham,H,2,1,13,16,9,9,6,6,19,8,2,1,0,0,2.1,3.25,3.75,2011-2012
2011-08-28,Tottenham,Man City,A,1,5,15,22,10,12,10,5,11,9,2,4,0,0,2.88,3.3,2.5,2011-2012
2011-08-28,West Brom,Stoke,A,0,1,16,7,7,1,5,1,9,12,0,0,0,0,2.1,3.25,3.75,2011-2012
2011-09-10,Arsenal,Swansea,H,1,0,18,10,8,5,4,5,10,7,3,2,0,0,1.36,4.75,9,2011-2012
2011-09-10,Bolton,Man United,A,0,5,20,13,13,9,5,7,14,1,2,0,0,0,9,4.5,1.4,2011-2012
2011-09-10,Everton,Aston Villa,D,2,2,17,7,10,3,8,0,13,11,1,1,0,0,2,3.4,3.8,2011-2012
