Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Win_Bet365_Odds,Draw_Bet365_Odds,Away_Win_Bet365_Odds,Home_Win_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Win_Pinnacle_Odds,Season
2015-08-08,Bournemouth,Aston Villa,A,0,1,11,7,2,3,6,3,13,13,3,4,0,0,2,3.6,4,1.82,3.88,4.7,2015-2016
2015-08-08,Chelsea,Swansea,D,2,2,11,18,3,10,4,8,15,16,1,3,1,0,1.36,5,11,1.37,5.04,10.88,2015-2016
2015-08-08,Everton,Watford,D,2,2,10,11,5,5,8,2,7,13,1,2,0,0,1.7,3.9,5.5,1.75,3.76,5.44,2015-2016
2015-08-08,Leicester,Sunderland,H,4,2,19,10,8,5,6,3,13,17,2,4,0,0,1.95,3.5,4.33,1.79,3.74,5.1,2015-2016
2015-08-08,Man United,Tottenham,H,1,0,9,9,1,4,1,2,12,12,2,3,0,0,1.65,4,6,1.64,4.07,6.04,2015-2016
2015-08-08,Norwich,Crystal Palace,A,1,3,17,11,6,7,1,4,14,20,1,0,0,0,2.55,3.3,3,2.46,3.39,3.14,2015-2016
2015-08-09,Arsenal,West Ham,A,0,2,22,8,6,4,5,4,12,9,1,3,0,0,1.29,6,12,1.24,6.75,15,2015-2016
2015-08-09,Newcastle,Southampton,D,2,2,9,15,4,5,6,6,9,12,2,4,0,0,2.88,3.3,2.7,3.09,3.28,2.55,2015-2016
2015-08-09,Stoke,Liverpool,A,0,1,7,8,1,3,3,5,9,16,2,4,0,0,3.4,3.4,2.3,3.89,3.51,2.09,2015-2016
2015-08-10,West Brom,Man City,A,0,3,9,19,2,7,6,6,12,9,4,1,0,0,5.75,4,1.67,6.46,4.08,1.61,2015-2016
2015-08-14,Aston Villa,Man United,A,0,1,5,9,1,2,3,5,14,10,2,2,0,0,5.5,3.8,1.73,5.06,3.76,1.8,2015-2016
2015-08-15,Southampton,Everton,A,0,3,17,10,4,4,9,9,11,10,4,2,0,0,1.95,3.6,4.33,2.03,3.54,4.08,2015-2016
2015-08-15,Sunderland,Norwich,A,1,3,6,19,2,6,6,6,7,7,1,2,0,0,2.5,3.3,3.1,2.86,3.39,2.66,2015-2016
2015-08-15,Swansea,Newcastle,H,2,0,19,4,6,2,4,4,11,8,2,1,0,1,1.95,3.6,4.33,1.85,3.86,4.49,2015-2016
2015-08-15,Tottenham,Stoke,D,2,2,13,16,7,7,4,3,15,11,2,2,0,0,1.8,3.75,5,1.74,3.76,5.55,2015-2016
2015-08-15,Watford,West Brom,D,0,0,16,6,5,0,2,4,13,10,1,2,0,0,2.3,3.4,3.4,2.09,3.62,3.76,2015-2016
2015-08-15,West Ham,Leicester,A,1,2,10,11,3,6,8,4,11,12,1,3,1,0,2.25,3.5,3.4,2.38,3.54,3.15,2015-2016
2015-08-16,Crystal Palace,Arsenal,A,1,2,11,20,4,7,6,6,14,12,1,1,0,0,5.25,3.9,1.73,5.4,4.08,1.69,2015-2016
2015-08-16,Man City,Chelsea,H,3,0,18,10,8,3,5,1,19,13,4,2,0,0,2.1,3.5,3.75,2.01,3.69,3.97,2015-2016
2015-08-17,Liverpool,Bournemouth,H,1,0,18,13,2,2,6,8,11,18,1,4,0,0,1.45,4.75,8,1.54,4.37,7.07,2015-2016
2015-08-22,Crystal Palace,Aston Villa,H,2,1,16,11,6,2,6,4,12,15,3,3,0,0,1.85,3.6,4.75,1.81,3.79,4.93,2015-2016
2015-08-22,Leicester,Tottenham,D,1,1,13,19,2,6,2,7,7,14,1,4,0,0,2.63,3.6,2.75,2.61,3.5,2.85,2015-2016
2015-08-22,Man United,Newcastle,D,0,0,20,7,8,0,11,5,15,11,2,2,0,0,1.36,5.25,10,1.34,5.44,11.12,2015-2016
2015-08-22,Norwich,Stoke,D,1,1,21,6,7,1,9,0,16,5,4,1,0,0,2.3,3.3,3.5,2.15,3.42,3.82,2015-2016
2015-08-22,Sunderland,Swansea,D,1,1,10,20,2,9,3,4,16,9,4,2,0,0,4,3.4,2.1,3.91,3.55,2.07,2015-2016
2015-08-22,West Ham,Bournemouth,A,3,4,10,15,4,7,5,4,8,11,0,0,1,0,2.38,3.4,3.2,2.64,3.51,2.81,2015-2016
2015-08-23,Everton,Man City,A,0,2,10,16,1,9,8,7,5,7,0,3,0,0,5,4,1.73,5.47,4.1,1.68,2015-2016
2015-08-23,Watford,Southampton,D,0,0,13,14,0,5,5,2,10,11,0,2,0,0,2.8,3.3,2.75,2.76,3.34,2.79,2015-2016
2015-08-23,West Brom,Chelsea,A,2,3,15,15,6,5,8,7,9,12,2,1,0,1,6.5,4,1.62,7.25,4.12,1.56,2015-2016
2015-08-24,Arsenal,Liverpool,D,0,0,19,15,5,8,7,8,2,13,1,4,0,0,1.75,4,5,1.8,4.05,4.6,2015-2016
2015-08-29,Aston Villa,Sunderland,D,2,2,21,7,6,3,5,4,10,14,2,1,0,0,1.91,3.5,4.75,2.12,3.31,4.07,2015-2016
2015-08-29,Bournemouth,Leicester,D,1,1,5,4,2,2,4,4,9,19,2,4,0,0,2.2,3.6,3.4,2.06,3.65,3.82,2015-2016
2015-08-29,Chelsea,Crystal Palace,A,1,2,26,13,9,6,7,7,9,15,1,1,0,0,1.36,5,11,1.37,5.1,10.31,2015-2016
2015-08-29,Liverpool,West Ham,A,0,3,13,12,1,5,5,7,17,11,3,1,1,1,1.36,5.5,9,1.37,5.28,9.74,2015-2016
2015-08-29,Man City,Watford,H,2,0,18,7,5,0,9,3,9,12,1,2,0,0,1.2,8,15,1.22,7.05,16.5,2015-2016
2015-08-29,Newcastle,Arsenal,A,0,1,1,22,0,9,0,9,15,8,6,1,1,0,6,4.2,1.62,5.81,4.48,1.6,2015-2016
2015-08-29,Stoke,West Brom,A,0,1,13,15,5,5,6,5,4,9,1,4,2,0,1.95,3.4,4.5,2.16,3.27,3.98,2015-2016
2015-08-29,Tottenham,Everton,D,0,0,20,8,6,3,6,2,20,9,4,1,0,0,2,3.5,4.2,2.1,3.55,3.81,2015-2016
2015-08-30,Southampton,Norwich,H,3,0,23,6,8,1,6,4,4,12,0,0,0,1,2.05,3.5,4,2.11,3.4,3.95,2015-2016
2015-08-30,Swansea,Man United,H,2,1,9,11,4,4,0,1,6,15,2,2,0,0,3.6,3.3,2.25,3.82,3.41,2.15,2015-2016
2015-09-12,Arsenal,Stoke,H,2,0,29,9,12,4,13,1,6,13,1,1,0,0,1.29,6,12,1.3,6.3,11,2015-2016
2015-09-12,Crystal Palace,Man City,A,0,1,10,21,2,7,4,4,13,13,2,3,0,0,5.5,4.2,1.67,4.95,3.89,1.78,2015-2016
2015-09-12,Everton,Chelsea,H,3,1,14,15,9,2,7,14,12,12,2,2,0,0,4,3.6,2,3.56,3.51,2.2,2015-2016
2015-09-12,Man United,Liverpool,H,3,1,9,8,3,4,4,4,6,11,1,2,0,0,2,3.4,4.33,1.94,3.41,4.7,2015-2016
2015-09-12,Norwich,Bournemouth,H,3,1,12,7,4,2,4,4,10,11,2,3,0,0,2.4,3.4,3.2,2.42,3.48,3.13,2015-2016
2015-09-12,Watford,Swansea,H,1,0,17,8,6,3,1,3,11,14,1,1,1,0,2.75,3.4,2.75,2.62,3.39,2.92,2015-2016
2015-09-12,West Brom,Southampton,D,0,0,8,14,1,4,4,5,5,5,1,0,0,0,3.2,3.2,2.5,3.25,3.38,2.4,2015-2016
2015-09-13,Leicester,Aston Villa,H,3,2,21,11,6,4,4,5,8,13,2,1,0,0,1.91,3.75,4.33,1.88,3.78,4.47,2015-2016
2015-09-13,Sunderland,Tottenham,A,0,1,12,15,2,4,6,8,11,12,2,1,0,0,4.33,3.6,1.95,4.26,3.69,1.94,2015-2016
2015-09-14,West Ham,Newcastle,H,2,0,17,14,3,4,6,7,8,11,0,2,0,0,2.25,3.5,3.4,2.09,3.63,3.77,2015-2016
2015-09-19,Aston Villa,West Brom,A,0,1,13,11,3,6,2,7,10,11,2,3,0,0,2.3,3.25,3.5,2.4,3.18,3.46,2015-2016
2015-09-19,Bournemouth,Sunderland,H,2,0,15,9,5,2,7,3,14,15,2,4,0,1,1.7,4,5.5,1.57,4.75,5.75,2015-2016
2015-09-19,Chelsea,Arsenal,H,2,0,22,9,7,2,5,5,12,11,3,1,0,2,2.45,3.5,3,2.65,3.46,2.82,2015-2016
2015-09-19,Man City,West Ham,A,1,2,27,6,8,3,16,3,10,7,1,2,0,0,1.29,6.5,11,1.29,6.2,11.5,2015-2016
2015-09-19,Newcastle,Watford,A,1,2,15,13,5,4,5,5,8,12,1,2,0,0,2.5,3.3,3.1,2.16,3.47,3.73,2015-2016
2015-09-19,Stoke,Leicester,D,2,2,11,12,4,5,3,4,7,12,1,4,0,0,2.5,3.4,3,2.99,3.45,2.53,2015-2016
2015-09-19,Swansea,Everton,D,0,0,12,17,3,2,2,4,12,11,2,2,0,1,2.3,3.4,3.4,2.21,3.45,3.61,2015-2016
2015-09-20,Liverpool,Norwich,D,1,1,23,7,7,2,6,2,4,13,1,2,0,0,1.67,4,5.75,1.59,4.23,6.5,2015-2016
2015-09-20,Southampton,Man United,A,2,3,15,10,8,3,5,5,6,13,2,0,0,0,3.1,3.3,2.5,3.45,3.28,2.35,2015-2016
